Date,GLW
2010-09-29,12.631741523742676
2010-09-30,12.56301212310791
2010-10-01,12.52864933013916
2010-10-04,12.315603256225586
2010-10-05,12.72108268737793
2010-10-06,12.617999076843262
2010-10-07,12.521780967712402
2010-10-08,12.624871253967285
2010-10-11,12.58363151550293
2010-10-12,12.679852485656738
2010-10-13,12.851662635803223
2010-10-14,12.638614654541016
2010-10-15,12.90664005279541
2010-10-18,12.961623191833496
2010-10-19,12.569889068603516
2010-10-20,12.74170207977295
2010-10-21,12.734830856323242
2010-10-22,12.782938957214355
2010-10-25,12.85853385925293
2010-10-26,12.68671989440918
2010-10-27,12.666104316711426
2010-10-28,12.707341194152832
2010-10-29,12.56301212310791
2010-11-01,12.714212417602539
2010-11-02,12.59737491607666
2010-11-03,12.776068687438965
