Date,DORM
2010-09-29,14.303560256958008
2010-09-30,14.743669509887695
2010-10-01,14.561885833740234
2010-10-04,13.71993637084961
2010-10-05,14.509263038635254
2010-10-06,14.523614883422852
2010-10-07,14.236586570739746
2010-10-08,14.6001558303833
2010-10-11,14.686264038085938
2010-10-12,15.006778717041016
2010-10-13,15.241185188293457
2010-10-14,15.37034797668457
2010-10-15,15.341644287109375
2010-10-18,15.394266128540039
2010-10-19,14.987643241882324
2010-10-20,15.623888969421387
2010-10-21,16.58064842224121
2010-10-22,16.25535011291504
2010-10-25,16.848541259765625
2010-10-26,16.556730270385742
2010-10-27,16.66197395324707
2010-10-28,17.46565055847168
2010-10-29,17.456085205078125
2010-11-01,17.80051612854004
2010-11-02,18.27411460876465
2010-11-03,19.1973876953125
