Date,STBA
2010-09-29,10.752049446105957
2010-09-30,10.764406204223633
2010-10-01,10.708789825439453
2010-10-04,10.597566604614258
2010-10-05,11.110445022583008
2010-10-06,11.073370933532715
2010-10-07,11.085731506347656
2010-10-08,11.246394157409668
2010-10-11,11.122807502746582
2010-10-12,11.234033584594727
2010-10-13,11.573896408081055
2010-10-14,11.592437744140625
2010-10-15,11.512104034423828
2010-10-18,11.907586097717285
2010-10-19,11.740740776062012
2010-10-20,11.870509147644043
2010-10-21,11.580080032348633
2010-10-22,11.561542510986328
2010-10-25,11.944662094116211
2010-10-26,12.080602645874023
2010-10-27,12.198919296264648
2010-10-28,12.142877578735352
2010-10-29,12.205143928527832
2010-11-01,11.6882963180542
2010-11-02,11.900017738342285
2010-11-03,12.236278533935547
