Date,MKC
2010-09-29,15.355814933776855
2010-09-30,15.707019805908203
2010-10-01,15.565044403076172
2010-10-04,15.527681350708008
2010-10-05,15.576247215270996
2010-10-06,15.677762031555176
2010-10-07,15.666481018066406
2010-10-08,15.67399787902832
2010-10-11,15.820622444152832
2010-10-12,15.805590629577637
2010-10-13,15.978529930114746
2010-10-14,16.00485610961914
2010-10-15,16.13644027709961
2010-10-18,16.241718292236328
2010-10-19,15.982292175292969
2010-10-20,16.091325759887695
2010-10-21,16.181550979614258
2010-10-22,16.3169002532959
2010-10-25,16.237943649291992
2010-10-26,16.29058074951172
2010-10-27,16.15523910522461
2010-10-28,16.350740432739258
2010-10-29,16.61768341064453
2010-11-01,16.531200408935547
2010-11-02,16.549999237060547
2010-11-03,16.53872299194336
