Date,MRK
2010-09-29,21.52539825439453
2010-09-30,21.34563636779785
2010-10-01,21.22385597229004
2010-10-04,21.17746353149414
2010-10-05,21.467411041259766
2010-10-06,21.46160888671875
2010-10-07,21.28763771057129
2010-10-08,21.403621673583984
2010-10-11,21.3746280670166
2010-10-12,21.247047424316406
2010-10-13,21.5485897064209
2010-10-14,21.54279327392578
2010-10-15,21.426820755004883
2010-10-18,21.589191436767578
2010-10-19,21.17746353149414
2010-10-20,21.45000648498535
2010-10-21,21.51380157470703
2010-10-22,21.51380157470703
2010-10-25,21.699363708496094
2010-10-26,21.49639892578125
2010-10-27,21.142675399780273
2010-10-28,21.42101287841797
2010-10-29,21.055688858032227
2010-11-01,21.020896911621094
2010-11-02,21.229652404785156
2010-11-03,21.17166519165039
2010-11-04,21.25284767150879
