Date,FE
2010-09-29,19.56694984436035
2010-09-30,19.56694984436035
2010-10-01,19.74464225769043
2010-10-04,19.58218002319336
2010-10-05,19.709104537963867
2010-10-06,19.607561111450195
2010-10-07,19.526330947875977
2010-10-08,19.53141212463379
2010-10-11,19.516178131103516
2010-10-12,19.470487594604492
2010-10-13,19.74464225769043
2010-10-14,19.622793197631836
2010-10-15,19.764957427978516
2010-10-18,20.01880645751953
2010-10-19,20.01880645751953
2010-10-20,20.14065170288086
2010-10-21,19.968036651611328
2010-10-22,19.049091339111328
2010-10-25,18.85108184814453
2010-10-26,18.505847930908203
2010-10-27,18.409374237060547
2010-10-28,18.36368751525879
2010-10-29,18.439847946166992
2010-11-01,18.312917709350586
2010-11-02,18.70893096923828
2010-11-03,18.487308502197266
2010-11-04,18.528541564941406
