Date,EPM
2010-09-21,3.043186902999878
2010-09-22,3.0326194763183594
2010-09-23,2.9850704669952393
2010-09-24,3.080169916152954
2010-09-27,3.059037685394287
2010-09-28,3.1277198791503906
2010-09-29,3.169985294342041
2010-09-30,3.1752705574035645
2010-10-01,3.296785831451416
2010-10-04,3.217536211013794
2010-10-05,3.254518747329712
2010-10-06,3.159419536590576
2010-10-07,3.169985294342041
2010-10-08,3.196403741836548
2010-10-11,3.212252616882324
2010-10-12,3.20697021484375
2010-10-13,3.212252616882324
2010-10-14,3.2650861740112305
2010-10-15,3.2756526470184326
2010-10-18,3.3813185691833496
2010-10-19,3.22282075881958
2010-10-20,3.296785831451416
2010-10-21,3.1171534061431885
2010-10-22,3.111870050430298
2010-10-25,3.080169916152954
2010-10-26,3.0220541954040527
