Date,WFRD
2021-09-29,19.347612380981445
2021-09-30,19.298553466796875
2021-10-01,20.230615615844727
2021-10-04,20.03438949584961
2021-10-05,19.710622787475586
2021-10-06,19.190631866455078
2021-10-07,19.494779586791992
2021-10-08,19.75967788696289
2021-10-11,19.995145797729492
2021-10-12,23.13471794128418
2021-10-13,23.60565185546875
2021-10-14,25.361854553222656
2021-10-15,26.22523307800293
2021-10-18,25.724863052368164
2021-10-19,27.471250534057617
2021-10-20,27.206350326538086
2021-10-21,26.49994659423828
2021-10-22,28.158031463623047
2021-10-25,28.3542537689209
2021-10-26,28.059919357299805
2021-10-27,26.74522590637207
2021-10-28,28.589723587036133
2021-10-29,28.511232376098633
2021-11-01,29.109716415405273
2021-11-02,27.795019149780273
2021-11-03,32.26890563964844
