Date,QDEL
2010-10-01,11.279999732971191
2010-10-04,11.0
2010-10-05,11.020000457763672
2010-10-06,11.270000457763672
2010-10-07,11.380000114440918
2010-10-08,11.59000015258789
2010-10-11,11.75
2010-10-12,12.279999732971191
2010-10-13,12.380000114440918
2010-10-14,12.350000381469727
2010-10-15,12.390000343322754
2010-10-18,12.369999885559082
2010-10-19,12.010000228881836
2010-10-20,11.760000228881836
2010-10-21,11.529999732971191
2010-10-22,11.380000114440918
2010-10-25,11.460000038146973
2010-10-26,11.40999984741211
2010-10-27,11.300000190734863
2010-10-28,11.420000076293945
2010-10-29,11.550000190734863
2010-11-01,11.649999618530273
2010-11-02,12.020000457763672
2010-11-03,11.960000038146973
2010-11-04,12.350000381469727
2010-11-05,12.369999885559082
2010-11-08,12.300000190734863
