Date,EHAB
2023-03-28,13.819999694824219
2023-03-29,13.40999984741211
2023-03-30,13.180000305175781
2023-03-31,13.90999984741211
2023-04-03,13.470000267028809
2023-04-04,13.25
2023-04-05,13.420000076293945
2023-04-06,13.239999771118164
2023-04-10,13.4399995803833
2023-04-11,13.90999984741211
2023-04-12,13.380000114440918
2023-04-13,13.550000190734863
2023-04-14,13.550000190734863
2023-04-17,12.829999923706055
2023-04-18,12.399999618530273
2023-04-19,12.619999885559082
2023-04-20,12.390000343322754
2023-04-21,12.59000015258789
2023-04-24,12.569999694824219
2023-04-25,12.380000114440918
2023-04-26,12.289999961853027
2023-04-27,12.300000190734863
2023-04-28,12.25
2023-05-01,12.399999618530273
2023-05-02,12.199999809265137
2023-05-03,12.279999732971191
2023-05-04,12.960000038146973
