Date,PFSI
2014-02-04,15.53185749053955
2014-02-05,15.34987735748291
2014-02-06,14.876734733581543
2014-02-07,14.740250587463379
2014-02-10,14.749350547790527
2014-02-11,15.031416893005371
2014-02-12,15.049616813659668
2014-02-13,15.049616813659668
2014-02-14,15.140602111816406
2014-02-18,15.92310905456543
2014-02-19,15.513657569885254
2014-02-20,15.267988204956055
2014-02-21,15.522757530212402
2014-02-24,15.468164443969727
2014-02-25,15.613748550415039
2014-02-26,15.70473861694336
2014-02-27,15.73203182220459
2014-02-28,15.73203182220459
2014-03-03,15.886714935302734
2014-03-04,16.25067138671875
2014-03-05,16.16878318786621
2014-03-06,16.25067138671875
2014-03-07,16.38715362548828
2014-03-10,16.432647705078125
2014-03-11,16.341659545898438
2014-03-12,16.17787742614746
