Date,HUM
2010-09-29,44.303890228271484
2010-09-30,44.39222717285156
2010-10-01,44.295040130615234
2010-10-04,43.552825927734375
2010-10-05,44.62197494506836
2010-10-06,43.817909240722656
2010-10-07,44.082969665527344
2010-10-08,44.93123245239258
2010-10-11,45.32002639770508
2010-10-12,46.12411880493164
2010-10-13,47.537872314453125
2010-10-14,47.98849868774414
2010-10-15,48.45680236816406
2010-10-18,48.97815704345703
2010-10-19,47.820621490478516
2010-10-20,49.46413040161133
2010-10-21,49.72037887573242
2010-10-22,50.338890075683594
2010-10-25,50.7718620300293
2010-10-26,50.55095672607422
2010-10-27,50.69232940673828
2010-10-28,51.107635498046875
2010-10-29,51.505252838134766
2010-11-01,51.84986114501953
2010-11-02,53.58170700073242
2010-11-03,52.636268615722656
2010-11-04,52.36233139038086
