Date,MET
2010-09-29,21.582416534423828
2010-09-30,21.39324378967285
2010-10-01,21.665876388549805
2010-10-04,21.61023712158203
2010-10-05,22.144371032714844
2010-10-06,21.955196380615234
2010-10-07,21.971895217895508
2010-10-08,21.79941177368164
2010-10-11,21.63249397277832
2010-10-12,21.804975509643555
2010-10-13,22.122121810913086
2010-10-14,22.05535316467285
2010-10-15,21.821664810180664
2010-10-18,22.52271842956543
2010-10-19,22.216699600219727
2010-10-20,22.444826126098633
2010-10-21,22.500463485717773
2010-10-22,22.444826126098633
2010-10-25,22.34467315673828
2010-10-26,22.539413452148438
2010-10-27,22.467079162597656
2010-10-28,22.511585235595703
2010-10-29,22.439260482788086
2010-11-01,22.233400344848633
2010-11-02,22.372493743896484
2010-11-03,23.001209259033203
2010-11-04,23.869190216064453
