Date,WS
2024-08-26,33.6054573059082
2024-08-27,33.40083694458008
2024-08-28,33.45930099487305
2024-08-29,34.11211395263672
2024-08-30,34.49211883544922
2024-09-03,31.40341567993164
2024-09-04,31.003931045532227
2024-09-05,31.003931045532227
2024-09-06,30.30239486694336
2024-09-09,31.500852584838867
2024-09-10,30.058807373046875
2024-09-11,30.49726676940918
2024-09-12,31.189054489135742
2024-09-13,32.1291389465332
2024-09-16,32.44249725341797
2024-09-17,33.11817932128906
2024-09-18,33.68614196777344
2024-09-19,36.08530044555664
2024-09-20,35.28231430053711
2024-09-23,34.90040969848633
2024-09-24,36.05592346191406
2024-09-25,35.194183349609375
2024-09-26,31.345735549926758
2024-09-27,32.403324127197266
2024-09-30,33.30423355102539
2024-10-01,33.03004455566406
2024-10-02,32.15851593017578
