Date,FRME
2016-06-13,19.287452697753906
2016-06-14,19.06646156311035
2016-06-15,19.058835983276367
2016-06-16,18.8988094329834
2016-06-17,18.632089614868164
2016-06-20,19.08169937133789
2016-06-21,19.06646156311035
2016-06-22,19.13504409790039
2016-06-23,19.645618438720703
2016-06-24,18.57874870300293
2016-06-27,18.083412170410156
2016-06-28,18.266307830810547
2016-06-29,18.601608276367188
2016-06-30,18.99787712097168
2016-07-01,18.97501564025879
2016-07-05,18.55588722229004
2016-07-06,18.609230041503906
2016-07-07,18.639711380004883
2016-07-08,18.837841033935547
2016-07-11,18.906429290771484
2016-07-12,19.295072555541992
2016-07-13,19.34079933166504
2016-07-14,19.51606559753418
2016-07-15,19.599889755249023
2016-07-18,19.401758193969727
2016-07-19,19.295072555541992
2016-07-20,19.188385009765625
2016-07-21,19.3255558013916
2016-07-22,19.706579208374023
2016-07-25,19.53130340576172
2016-07-26,19.53892707824707
2016-07-27,20.15618133544922
2016-07-28,20.095230102539062
2016-07-29,19.965673446655273
2016-08-01,19.942813873291016
2016-08-02,20.0037784576416
2016-08-03,20.133325576782227
2016-08-04,20.087610244750977
2016-08-05,20.742963790893555
2016-08-08,20.735342025756836
2016-08-09,20.735342025756836
2016-08-10,20.4686279296875
2016-08-11,20.582935333251953
2016-08-12,20.575315475463867
2016-08-15,20.651519775390625
2016-08-16,20.605798721313477
2016-08-17,20.560070037841797
2016-08-18,20.63627052307129
2016-08-19,20.681997299194336
2016-08-22,20.62103271484375
2016-08-23,20.567691802978516
2016-08-24,20.750585556030273
2016-08-25,20.76582145690918
2016-08-26,20.735342025756836
2016-08-29,20.704864501953125
2016-08-30,20.727724075317383
2016-08-31,20.796661376953125
2016-09-01,20.681760787963867
2016-09-02,20.773685455322266
2016-09-06,20.490262985229492
2016-09-07,20.834959030151367
2016-09-08,20.827301025390625
2016-09-09,20.6511173248291
2016-09-12,20.788997650146484
2016-09-13,20.543888092041016
2016-09-14,20.30642318725586
2016-09-15,20.45962905883789
2016-09-16,20.4979248046875
2016-09-19,20.4979248046875
2016-09-20,20.490262985229492
2016-09-21,20.589853286743164
2016-09-22,20.743043899536133
2016-09-23,20.620485305786133
2016-09-26,20.176212310791016
2016-09-27,20.352388381958008
2016-09-28,20.4979248046875
2016-09-29,20.275793075561523
2016-09-30,20.490262985229492
2016-10-03,20.33706283569336
2016-10-04,20.3753719329834
2016-10-05,20.582183837890625
2016-10-06,20.735380172729492
