Date,LUNR
2022-08-19,9.739999771118164
2022-08-22,9.729999542236328
2022-08-23,9.729999542236328
2022-08-24,9.739999771118164
2022-08-25,9.739999771118164
2022-08-26,9.729999542236328
2022-08-29,9.729999542236328
2022-08-30,9.729999542236328
2022-08-31,9.739999771118164
2022-09-01,9.739999771118164
2022-09-02,9.699999809265137
2022-09-06,9.739999771118164
2022-09-07,9.75
2022-09-08,9.75
2022-09-09,9.720000267028809
2022-09-12,9.720000267028809
2022-09-13,9.760000228881836
2022-09-14,9.770000457763672
2022-09-15,9.739999771118164
2022-09-16,9.845000267028809
2022-09-19,9.850000381469727
2022-09-20,9.8100004196167
2022-09-21,9.850000381469727
2022-09-22,9.84000015258789
2022-09-23,9.829999923706055
2022-09-26,9.829999923706055
2022-09-27,9.819999694824219
