Date,CTRI
2025-01-22,22.270000457763672
2025-01-23,21.690000534057617
2025-01-24,24.43000030517578
2025-01-27,23.219999313354492
2025-01-28,20.979999542236328
2025-01-29,22.030000686645508
2025-01-30,22.670000076293945
2025-01-31,22.280000686645508
2025-02-03,20.950000762939453
2025-02-04,22.1200008392334
2025-02-05,21.739999771118164
2025-02-06,22.639999389648438
2025-02-07,22.1299991607666
2025-02-10,22.420000076293945
2025-02-11,21.709999084472656
2025-02-12,21.31999969482422
2025-02-13,20.75
2025-02-14,20.709999084472656
2025-02-18,19.84000015258789
2025-02-19,19.700000762939453
2025-02-20,19.690000534057617
2025-02-21,18.6299991607666
2025-02-24,18.149999618530273
2025-02-25,18.780000686645508
2025-02-26,17.459999084472656
2025-02-27,16.780000686645508
2025-02-28,17.350000381469727
