Date,FIBK
2010-07-30,7.338512420654297
2010-08-02,7.713711261749268
2010-08-03,7.504039764404297
2010-08-04,7.465418338775635
2010-08-05,7.388168811798096
2010-08-06,7.448864459991455
2010-08-09,7.526113510131836
2010-08-10,7.233676433563232
2010-08-11,7.001931190490723
2010-08-12,6.902613639831543
2010-08-13,6.819849491119385
2010-08-16,6.698462009429932
2010-08-17,6.897097110748291
2010-08-18,6.952273368835449
2010-08-19,6.698462009429932
2010-08-20,6.742599964141846
2010-08-23,6.621212959289551
2010-08-24,6.610177993774414
2010-08-25,6.7315673828125
2010-08-26,6.621212959289551
2010-08-27,6.847435474395752
2010-08-30,6.345327854156494
2010-08-31,6.301186561584473
2010-09-01,6.692941665649414
2010-09-02,6.659834384918213
2010-09-03,7.073660850524902
2010-09-07,7.007450580596924
2010-09-08,7.371617794036865
2010-09-09,7.2778143882751465
2010-09-10,7.217121601104736
2010-09-13,7.437828540802002
2010-09-14,7.432309627532959
2010-09-15,7.388168811798096
2010-09-16,7.393685340881348
2010-09-17,7.228157043457031
2010-09-20,7.377137660980225
2010-09-21,7.393685340881348
2010-09-22,7.371617794036865
2010-09-23,7.184015274047852
2010-09-24,7.399208068847656
2010-09-27,7.404720306396484
2010-09-28,7.393685340881348
2010-09-29,7.410240173339844
2010-09-30,7.489812850952148
2010-10-01,7.539892196655273
2010-10-04,7.439730167388916
2010-10-05,7.439730167388916
2010-10-06,7.322876453399658
2010-10-07,7.111426830291748
2010-10-08,6.938925743103027
2010-10-11,6.938925743103027
2010-10-12,6.838767051696777
2010-10-13,6.91110372543335
2010-10-14,6.927800178527832
2010-10-15,7.016830921173096
2010-10-18,7.11699104309082
2010-10-19,7.02239465713501
2010-10-20,6.91110372543335
2010-10-21,6.827638149261475
2010-10-22,6.916668891906738
2010-10-25,6.738604545593262
2010-10-26,6.994570732116699
2010-10-27,6.994570732116699
2010-10-28,7.144813537597656
2010-10-29,7.211584568023682
2010-11-01,7.1670684814453125
2010-11-02,7.233843803405762
2010-11-03,7.233843803405762
2010-11-04,7.256101608276367
2010-11-05,7.244974136352539
2010-11-08,7.250536918640137
2010-11-09,7.233843803405762
2010-11-10,7.395216464996338
2010-11-11,7.857067584991455
2010-11-12,7.907150745391846
2010-11-15,8.046259880065918
2010-11-16,7.790292739868164
2010-11-17,7.779163837432861
2010-11-18,7.801427364349365
2010-11-19,7.812553882598877
2010-11-22,7.87376070022583
2010-11-23,7.829244613647461
2010-11-24,7.851504802703857
2010-11-26,7.884891510009766
2010-11-29,8.018438339233398
2010-11-30,7.578843593597412
2010-12-01,8.001745223999023
2010-12-02,7.94053840637207
2010-12-03,8.090774536132812
2010-12-06,8.057391166687012
2010-12-07,8.057391166687012
2010-12-08,7.98505163192749
2010-12-09,8.17424488067627
2010-12-10,8.346741676330566
2010-12-13,8.285534858703613
2010-12-14,8.140860557556152
2010-12-15,8.046259880065918
