Date,HP
2010-09-29,22.412782669067383
2010-09-30,22.597084045410156
2010-10-01,22.485382080078125
2010-10-04,22.52448081970215
2010-10-05,22.971284866333008
2010-10-06,23.596813201904297
2010-10-07,22.98245620727539
2010-10-08,23.390159606933594
2010-10-11,23.663829803466797
2010-10-12,23.70292854309082
2010-10-13,24.49599838256836
2010-10-14,24.65237808227539
2010-10-15,24.65237808227539
2010-10-18,24.44015121459961
2010-10-19,23.423677444458008
2010-10-20,23.552122116088867
2010-10-21,23.323137283325195
2010-10-22,23.21702766418457
2010-10-25,23.071815490722656
2010-10-26,23.172344207763672
2010-10-27,23.83137321472168
2010-10-28,23.971006393432617
2010-10-29,23.892824172973633
2010-11-01,23.848142623901367
2010-11-02,23.892824172973633
2010-11-03,23.892824172973633
