Date,JHG
2018-02-23,23.88640785217285
2018-02-26,23.9869384765625
2018-02-27,23.651836395263672
2018-02-28,23.685340881347656
2018-03-01,23.4306583404541
2018-03-02,23.26310920715332
2018-03-05,23.202783584594727
2018-03-06,23.3569393157959
2018-03-07,23.008426666259766
2018-03-08,23.256406784057617
2018-03-09,24.23491859436035
2018-03-12,24.14108657836914
2018-03-13,23.9869384765625
2018-03-14,23.792579650878906
2018-03-15,23.66524314880371
2018-03-16,23.4976806640625
2018-03-19,23.088851928710938
2018-03-20,23.2161922454834
2018-03-21,23.2161922454834
2018-03-22,22.358320236206055
2018-03-23,21.82215118408203
2018-03-26,22.28459358215332
2018-03-27,21.87576675415039
2018-03-28,21.761831283569336
2018-03-29,22.1773624420166
2018-04-02,21.58087730407715
