Date,ASH
2010-09-29,19.48165512084961
2010-09-30,19.159507751464844
2010-10-01,19.24593734741211
2010-10-04,18.837369918823242
2010-10-05,19.902008056640625
2010-10-06,19.905933380126953
2010-10-07,20.353792190551758
2010-10-08,21.060924530029297
2010-10-11,21.04128646850586
2010-10-12,20.911645889282227
2010-10-13,21.037357330322266
2010-10-14,20.601285934448242
2010-10-15,20.67986297607422
2010-10-18,20.345935821533203
2010-10-19,20.110219955444336
2010-10-20,20.499141693115234
2010-10-21,20.562000274658203
2010-10-22,20.428434371948242
2010-10-25,20.833072662353516
2010-10-26,20.06307601928711
2010-10-27,20.03164291381836
2010-10-28,20.208433151245117
2010-10-29,20.28307342529297
2010-11-01,20.141653060913086
2010-11-02,19.941293716430664
2010-11-03,19.607362747192383
2010-11-04,19.95307731628418
