Date,VEL
2020-10-14,5.050000190734863
2020-10-15,4.760000228881836
2020-10-16,4.730000019073486
2020-10-19,4.840000152587891
2020-10-20,4.630000114440918
2020-10-21,4.5
2020-10-22,4.46999979019165
2020-10-23,4.489999771118164
2020-10-26,4.420000076293945
2020-10-27,4.320000171661377
2020-10-28,4.210000038146973
2020-10-29,4.269999980926514
2020-10-30,4.349999904632568
2020-11-02,4.239999771118164
2020-11-03,4.440000057220459
2020-11-04,4.5
2020-11-05,4.480000019073486
2020-11-06,4.5
2020-11-09,5.110000133514404
2020-11-10,5.260000228881836
2020-11-11,5.300000190734863
2020-11-12,5.25
2020-11-13,5.71999979019165
2020-11-16,5.880000114440918
2020-11-17,6.360000133514404
2020-11-18,6.130000114440918
2020-11-19,6.010000228881836
2020-11-20,6.050000190734863
2020-11-23,6.25
2020-11-24,6.440000057220459
2020-11-25,6.25
2020-11-27,6.269999980926514
2020-11-30,6.269999980926514
2020-12-01,6.349999904632568
2020-12-02,6.190000057220459
2020-12-03,5.940000057220459
2020-12-04,6.03000020980835
2020-12-07,6.150000095367432
2020-12-08,6.019999980926514
2020-12-09,5.820000171661377
2020-12-10,6.0
2020-12-11,6.0
2020-12-14,6.0
2020-12-15,6.260000228881836
2020-12-16,6.300000190734863
2020-12-17,6.460000038146973
2020-12-18,6.25
2020-12-21,6.269999980926514
2020-12-22,6.269999980926514
2020-12-23,6.309999942779541
2020-12-24,6.275000095367432
2020-12-28,6.099999904632568
2020-12-29,6.199999809265137
2020-12-30,6.21999979019165
2020-12-31,6.230000019073486
2021-01-04,6.127999782562256
2021-01-05,6.159999847412109
2021-01-06,6.78000020980835
2021-01-07,7.065000057220459
2021-01-08,7.050000190734863
2021-01-11,7.0
2021-01-12,7.050000190734863
2021-01-13,7.059999942779541
2021-01-14,7.0
2021-01-15,7.039999961853027
2021-01-19,7.0
2021-01-20,7.199999809265137
2021-01-21,7.199999809265137
2021-01-22,7.199999809265137
2021-01-25,7.199999809265137
2021-01-26,7.199999809265137
2021-01-27,7.199999809265137
2021-01-28,7.199999809265137
2021-01-29,7.199999809265137
2021-02-01,7.199999809265137
2021-02-02,7.760000228881836
2021-02-03,7.5
2021-02-04,7.260000228881836
2021-02-05,7.090000152587891
2021-02-08,6.960000038146973
2021-02-09,7.300000190734863
2021-02-10,7.389999866485596
2021-02-11,7.300000190734863
2021-02-12,7.369999885559082
2021-02-16,7.519999980926514
2021-02-17,7.340000152587891
2021-02-18,7.320000171661377
2021-02-19,7.400000095367432
2021-02-22,7.099999904632568
2021-02-23,6.96999979019165
2021-02-24,7.199999809265137
2021-02-25,7.230000019073486
2021-02-26,7.039999961853027
2021-03-01,7.340000152587891
2021-03-02,7.789999961853027
2021-03-03,8.079999923706055
2021-03-04,7.889999866485596
2021-03-05,7.570000171661377
2021-03-08,7.659999847412109
2021-03-09,7.744999885559082
2021-03-10,7.769999980926514
2021-03-11,8.640000343322754
2021-03-12,8.770000457763672
2021-03-15,8.550000190734863
2021-03-16,8.699999809265137
2021-03-17,9.010000228881836
2021-03-18,9.0
2021-03-19,9.300000190734863
2021-03-22,9.0
2021-03-23,8.8100004196167
2021-03-24,8.920000076293945
2021-03-25,8.960000038146973
2021-03-26,8.890000343322754
2021-03-29,8.970000267028809
2021-03-30,8.984999656677246
2021-03-31,8.869999885559082
2021-04-01,8.970000267028809
2021-04-05,8.979999542236328
2021-04-06,9.0
2021-04-07,8.949999809265137
2021-04-08,8.8149995803833
2021-04-09,8.899999618530273
2021-04-12,9.140000343322754
2021-04-13,9.069999694824219
2021-04-14,9.020000457763672
2021-04-15,9.15999984741211
2021-04-16,8.670000076293945
2021-04-19,8.420000076293945
2021-04-20,7.949999809265137
2021-04-21,8.079999923706055
2021-04-22,8.399999618530273
2021-04-23,8.510000228881836
2021-04-26,8.649999618530273
2021-04-27,9.20300006866455
2021-04-28,8.859999656677246
2021-04-29,9.119999885559082
2021-04-30,9.0600004196167
2021-05-03,8.880000114440918
2021-05-04,9.0
2021-05-05,9.170000076293945
2021-05-06,9.149999618530273
2021-05-07,12.5
2021-05-10,11.0
2021-05-11,11.359999656677246
2021-05-12,11.350000381469727
2021-05-13,11.300000190734863
2021-05-14,11.0
2021-05-17,11.229999542236328
2021-05-18,11.0
2021-05-19,10.75
2021-05-20,10.819999694824219
2021-05-21,10.699999809265137
2021-05-24,10.649999618530273
2021-05-25,10.630000114440918
2021-05-26,10.300000190734863
2021-05-27,10.140000343322754
2021-05-28,10.789999961853027
2021-06-01,11.0
2021-06-02,11.0600004196167
2021-06-03,10.479999542236328
2021-06-04,10.640000343322754
2021-06-07,11.199999809265137
2021-06-08,12.350000381469727
2021-06-09,13.25
2021-06-10,13.25
2021-06-11,13.149999618530273
2021-06-14,13.010000228881836
2021-06-15,13.039999961853027
2021-06-16,12.859999656677246
2021-06-17,12.510000228881836
2021-06-18,12.5600004196167
2021-06-21,12.84000015258789
2021-06-22,12.90999984741211
2021-06-23,12.899999618530273
2021-06-24,12.550000190734863
2021-06-25,12.550000190734863
2021-06-28,12.5
2021-06-29,12.40999984741211
2021-06-30,12.489999771118164
2021-07-01,12.819999694824219
2021-07-02,12.6899995803833
2021-07-06,11.619999885559082
2021-07-07,12.029999732971191
2021-07-08,12.0
2021-07-09,12.359999656677246
2021-07-12,12.489999771118164
2021-07-13,12.5600004196167
2021-07-14,12.529999732971191
2021-07-15,12.520000457763672
2021-07-16,12.489999771118164
2021-07-19,11.970000267028809
2021-07-20,12.5
2021-07-21,12.970000267028809
2021-07-22,12.819999694824219
2021-07-23,13.0
2021-07-26,13.220000267028809
2021-07-27,13.140000343322754
2021-07-28,13.25
2021-07-29,13.40999984741211
2021-07-30,12.649999618530273
2021-08-02,12.0600004196167
2021-08-03,11.550000190734863
2021-08-04,11.960000038146973
2021-08-05,12.199999809265137
2021-08-06,13.260000228881836
2021-08-09,12.869999885559082
2021-08-10,13.039999961853027
2021-08-11,13.329999923706055
2021-08-12,13.289999961853027
2021-08-13,12.9399995803833
2021-08-16,13.029999732971191
2021-08-17,12.680000305175781
2021-08-18,13.239999771118164
2021-08-19,12.859999656677246
2021-08-20,12.949999809265137
2021-08-23,12.569999694824219
2021-08-24,12.329999923706055
2021-08-25,12.880000114440918
2021-08-26,12.729999542236328
2021-08-27,13.210000038146973
2021-08-30,12.770000457763672
2021-08-31,12.869999885559082
2021-09-01,12.90999984741211
2021-09-02,13.229999542236328
2021-09-03,12.579999923706055
2021-09-07,13.149999618530273
2021-09-08,13.0
2021-09-09,12.960000038146973
2021-09-10,13.050000190734863
2021-09-13,12.989999771118164
2021-09-14,12.930000305175781
2021-09-15,12.899999618530273
2021-09-16,12.529999732971191
2021-09-17,11.649999618530273
2021-09-20,11.670000076293945
2021-09-21,12.0
2021-09-22,12.880000114440918
2021-09-23,13.4399995803833
2021-09-24,13.229999542236328
2021-09-27,13.329999923706055
2021-09-28,13.100000381469727
2021-09-29,13.270000457763672
