Date,AUB
2010-06-29,7.930759429931641
2010-06-30,7.822294235229492
2010-07-01,7.956281661987305
2010-07-02,7.847815036773682
2010-07-06,7.732968807220459
2010-07-07,7.841438293457031
2010-07-08,8.20511531829834
2010-07-09,8.409284591674805
2010-07-12,8.300821304321289
2010-07-13,8.906950950622559
2010-07-14,8.638980865478516
2010-07-15,8.447566986083984
2010-07-16,7.879715919494629
2010-07-19,7.886097431182861
2010-07-20,8.077508926391602
2010-07-21,7.630882740020752
2010-07-22,8.230635643005371
2010-07-23,8.855912208557129
2010-07-26,9.085600852966309
2010-07-27,9.034561157226562
2010-07-28,8.919710159301758
2010-07-29,8.98351764678955
2010-07-30,9.060079574584961
2010-08-02,9.238728523254395
2010-08-03,9.085600852966309
2010-08-04,9.143026351928711
2010-08-05,8.747442245483398
2010-08-06,8.632597923278809
2010-08-09,8.894192695617676
2010-08-10,8.358243942260742
2010-08-11,7.726585865020752
2010-08-12,7.554322242736816
2010-08-13,7.484137058258057
2010-08-16,7.758491039276123
2010-08-17,8.021384239196777
2010-08-18,8.104736328125
2010-08-19,7.457126140594482
2010-08-20,7.636663913726807
2010-08-23,7.239118576049805
2010-08-24,7.27759313583374
2010-08-25,7.360949993133545
2010-08-26,7.328890800476074
2010-08-27,7.713605880737305
2010-08-30,7.245534896850586
2010-08-31,7.437891006469727
2010-09-01,8.059856414794922
2010-09-02,8.059856414794922
2010-09-03,8.31633186340332
2010-09-07,7.649488925933838
2010-09-08,7.739254951477051
2010-09-09,7.720020294189453
2010-09-10,7.790549278259277
2010-09-13,8.412510871887207
2010-09-14,8.399688720703125
2010-09-15,8.059856414794922
2010-09-16,7.957262992858887
2010-09-17,8.053441047668457
2010-09-20,8.502280235290527
2010-09-21,8.489458084106445
2010-09-22,8.040618896484375
2010-09-23,7.75208044052124
2010-09-24,8.239388465881348
2010-09-27,8.091917991638184
2010-09-28,8.156033515930176
