Date,CCB
2019-04-26,16.280000686645508
2019-04-29,16.5
2019-04-30,15.949999809265137
2019-05-01,16.1299991607666
2019-05-02,16.360000610351562
2019-05-03,16.489999771118164
2019-05-06,16.700000762939453
2019-05-07,16.729999542236328
2019-05-08,16.600000381469727
2019-05-09,16.940000534057617
2019-05-10,16.979999542236328
2019-05-13,16.6200008392334
2019-05-14,16.969999313354492
2019-05-15,16.8700008392334
2019-05-16,16.829999923706055
2019-05-17,16.56999969482422
2019-05-20,16.450000762939453
2019-05-21,16.389999389648438
2019-05-22,15.84000015258789
2019-05-23,15.65999984741211
2019-05-24,16.0
2019-05-28,16.020000457763672
2019-05-29,16.049999237060547
2019-05-30,16.09000015258789
2019-05-31,16.059999465942383
2019-06-03,16.579999923706055
2019-06-04,16.59000015258789
2019-06-05,16.09000015258789
