Date,AGNC
2010-08-11,3.6066362857818604
2010-08-12,3.572018623352051
2010-08-13,3.5079126358032227
2010-08-16,3.5181689262390137
2010-08-17,3.487398624420166
2010-08-18,3.487398624420166
2010-08-19,3.4617576599121094
2010-08-20,3.4591925144195557
2010-08-23,3.4976541996002197
2010-08-24,3.51945424079895
2010-08-25,3.509194850921631
2010-08-26,3.4720120429992676
2010-08-27,3.5066306591033936
2010-08-30,3.478423833847046
2010-08-31,3.492525577545166
2010-09-01,3.5668914318084717
2010-09-02,3.625868320465088
2010-09-03,3.6374077796936035
2010-09-07,3.647664785385132
2010-09-08,3.63997220993042
2010-09-09,3.596377372741699
2010-09-10,3.6117641925811768
2010-09-13,3.6194584369659424
2010-09-14,3.634845733642578
2010-09-15,3.692540407180786
2010-09-16,3.7374138832092285
2010-09-17,3.797675371170044
2010-09-20,3.8463964462280273
2010-09-21,3.7899813652038574
2010-09-22,3.766904830932617
2010-09-23,3.7528023719787598
2010-09-24,3.795891046524048
2010-09-27,3.768956422805786
2010-09-28,3.620837926864624
2010-09-29,3.6154537200927734
2010-09-30,3.5777485370635986
2010-10-01,3.6329591274261475
2010-10-04,3.6289186477661133
2010-10-05,3.636998176574707
2010-10-06,3.677394390106201
2010-10-07,3.6693167686462402
2010-10-08,3.6975913047790527
2010-10-11,3.731255531311035
2010-10-12,3.766263246536255
2010-10-13,3.740680456161499
2010-10-14,3.723175525665283
2010-10-15,3.717790365219116
2010-10-18,3.7501046657562256
2010-10-19,3.7541468143463135
2010-10-20,3.7635726928710938
2010-10-21,3.764915943145752
2010-10-22,3.7568392753601074
2010-10-25,3.7474124431610107
