Date,TER
2010-09-29,10.409317970275879
2010-09-30,10.261929512023926
2010-10-01,10.225083351135254
2010-10-04,10.059270858764648
2010-10-05,10.400104522705078
2010-10-06,10.271142959594727
2010-10-07,10.289565086364746
2010-10-08,10.08690357208252
2010-10-11,10.326411247253418
2010-10-12,10.39089298248291
2010-10-13,10.464591979980469
2010-10-14,10.271142959594727
2010-10-15,10.501435279846191
2010-10-18,10.510647773742676
2010-10-19,10.280352592468262
2010-10-20,10.381685256958008
2010-10-21,10.39089298248291
2010-10-22,10.547493934631348
2010-10-25,10.768575668334961
2010-10-26,10.823848724365234
2010-10-27,10.952813148498535
2010-10-28,10.08690357208252
2010-10-29,10.354046821594238
2010-11-01,10.354046821594238
2010-11-02,10.372469902038574
2010-11-03,10.602764129638672
2010-11-04,10.750153541564941
