Date,GOOD
2010-09-24,5.022403717041016
2010-09-27,4.96653413772583
2010-09-28,5.022403717041016
2010-09-29,5.028286457061768
2010-09-30,5.045928001403809
2010-10-01,5.042987823486328
2010-10-04,5.045928001403809
2010-10-05,5.210593223571777
2010-10-06,5.269411087036133
2010-10-07,5.210593223571777
2010-10-08,5.39585018157959
2010-10-11,5.378205299377441
2010-10-12,5.413493633270264
2010-10-13,5.504644870758057
2010-10-14,5.407611846923828
2010-10-15,5.525230407714844
2010-10-18,5.707544326782227
2010-10-19,5.546247959136963
2010-10-20,5.632075786590576
2010-10-21,5.478177547454834
2010-10-22,5.561044216156006
2010-10-25,5.5344061851501465
2010-10-26,5.581761360168457
2010-10-27,5.584725856781006
2010-10-28,5.6350321769714355
2010-10-29,5.52849006652832
2010-11-01,5.5344061851501465
