Date,SFL
2010-09-24,4.341236114501953
2010-09-27,4.401305675506592
2010-09-28,4.435961723327637
2010-09-29,4.486789226531982
2010-09-30,4.489100933074951
2010-10-01,4.449824333190918
2010-10-04,4.385132312774658
2010-10-05,4.472929000854492
2010-10-06,4.535308361053467
2010-10-07,4.521445274353027
2010-10-08,4.576894760131836
2010-10-11,4.593068599700928
2010-10-12,4.606931686401367
2010-10-13,4.63927698135376
2010-10-14,4.632346153259277
2010-10-15,4.574584484100342
2010-10-18,4.6485185623168945
2010-10-19,4.6092424392700195
2010-10-20,4.667001724243164
2010-10-21,4.625415802001953
2010-10-22,4.664690971374512
2010-10-25,4.657760143280029
2010-10-26,4.588447570800781
2010-10-27,4.569964408874512
2010-10-28,4.574584484100342
2010-10-29,4.646206855773926
