Date,CC
2016-03-11,4.768078327178955
2016-03-14,5.024034023284912
2016-03-15,4.994782447814941
2016-03-16,4.89240026473999
2016-03-17,5.279989719390869
2016-03-18,5.462815761566162
2016-03-21,5.26536226272583
2016-03-22,5.26536226272583
2016-03-23,4.958217144012451
2016-03-24,5.228798866271973
2016-03-28,5.1191020011901855
2016-03-29,5.25073766708374
2016-03-30,5.287302494049072
2016-03-31,5.1191020011901855
2016-04-01,5.448188304901123
2016-04-04,5.26536226272583
2016-04-05,5.21417236328125
2016-04-06,5.345806121826172
2016-04-07,5.148355484008789
2016-04-08,5.272676467895508
2016-04-11,5.272676467895508
2016-04-12,5.448188304901123
2016-04-13,5.601761341094971
2016-04-14,5.543258190155029
2016-04-15,5.94547176361084
2016-04-18,5.982038974761963
