Date,GIS
2010-09-29,22.288742065429688
2010-09-30,22.089250564575195
2010-10-01,22.33711051940918
2010-10-04,22.361295700073242
2010-10-05,22.500324249267578
2010-10-06,22.719602584838867
2010-10-07,22.646509170532227
2010-10-08,22.524696350097656
2010-10-11,22.281044006347656
2010-10-12,22.451595306396484
2010-10-13,22.829246520996094
2010-10-14,22.689151763916016
2010-10-15,22.70741844177246
2010-10-18,22.78661346435547
2010-10-19,22.6038761138916
2010-10-20,22.640426635742188
2010-10-21,22.609966278076172
2010-10-22,22.719602584838867
2010-10-25,22.841428756713867
2010-10-26,22.774425506591797
2010-10-27,22.640426635742188
2010-10-28,22.804882049560547
2010-10-29,22.877979278564453
2010-11-01,22.622154235839844
2010-11-02,22.475961685180664
2010-11-03,22.372417449951172
2010-11-04,22.220142364501953
