Date,ATEX
2015-11-13,24.280000686645508
2015-11-16,24.399999618530273
2015-11-17,22.959999084472656
2015-11-18,23.149999618530273
2015-11-19,23.100000381469727
2015-11-20,23.09000015258789
2015-11-23,23.6299991607666
2015-11-24,23.600000381469727
2015-11-25,25.030000686645508
2015-11-27,25.6299991607666
2015-11-30,26.450000762939453
2015-12-01,26.270000457763672
2015-12-02,26.360000610351562
2015-12-03,25.75
2015-12-04,24.989999771118164
2015-12-07,24.43000030517578
2015-12-08,24.969999313354492
2015-12-09,24.940000534057617
2015-12-10,27.020000457763672
2015-12-11,26.280000686645508
2015-12-14,25.309999465942383
2015-12-15,26.260000228881836
2015-12-16,27.690000534057617
2015-12-17,27.530000686645508
2015-12-18,27.520000457763672
2015-12-21,27.469999313354492
2015-12-22,27.09000015258789
