Date,CCRN
2010-06-22,8.539999961853027
2010-06-23,8.579999923706055
2010-06-24,8.729999542236328
2010-06-25,9.359999656677246
2010-06-28,9.529999732971191
2010-06-29,9.229999542236328
2010-06-30,8.989999771118164
2010-07-01,8.65999984741211
2010-07-02,8.470000267028809
2010-07-06,8.34000015258789
2010-07-07,8.5
2010-07-08,8.739999771118164
2010-07-09,8.630000114440918
2010-07-12,8.40999984741211
2010-07-13,8.779999732971191
2010-07-14,8.770000457763672
2010-07-15,8.789999961853027
2010-07-16,7.940000057220459
2010-07-19,7.860000133514404
2010-07-20,8.100000381469727
2010-07-21,7.900000095367432
2010-07-22,8.739999771118164
2010-07-23,9.399999618530273
2010-07-26,9.170000076293945
2010-07-27,8.859999656677246
2010-07-28,8.720000267028809
2010-07-29,8.920000076293945
2010-07-30,8.880000114440918
2010-08-02,8.989999771118164
2010-08-03,8.960000038146973
2010-08-04,9.670000076293945
2010-08-05,8.5600004196167
2010-08-06,8.289999961853027
2010-08-09,8.670000076293945
2010-08-10,8.270000457763672
2010-08-11,7.710000038146973
2010-08-12,8.149999618530273
2010-08-13,7.789999961853027
2010-08-16,8.380000114440918
2010-08-17,8.40999984741211
2010-08-18,8.279999732971191
2010-08-19,7.75
2010-08-20,7.619999885559082
2010-08-23,7.389999866485596
2010-08-24,7.239999771118164
2010-08-25,7.510000228881836
2010-08-26,7.340000152587891
2010-08-27,7.760000228881836
2010-08-30,7.289999961853027
2010-08-31,7.420000076293945
2010-09-01,7.789999961853027
2010-09-02,7.570000171661377
2010-09-03,7.800000190734863
2010-09-07,7.309999942779541
2010-09-08,7.409999847412109
2010-09-09,7.309999942779541
2010-09-10,7.460000038146973
2010-09-13,7.690000057220459
2010-09-14,7.670000076293945
2010-09-15,7.699999809265137
2010-09-16,7.420000076293945
2010-09-17,7.489999771118164
2010-09-20,7.610000133514404
2010-09-21,7.550000190734863
2010-09-22,7.480000019073486
2010-09-23,7.150000095367432
2010-09-24,7.449999809265137
2010-09-27,7.239999771118164
2010-09-28,7.119999885559082
2010-09-29,7.090000152587891
2010-09-30,7.190000057220459
