Date,KDP
2010-09-23,3.7689626216888428
2010-09-24,3.881122350692749
2010-09-27,3.8666861057281494
2010-09-28,3.966628313064575
2010-09-29,3.9288723468780518
2010-09-30,3.944418430328369
2010-10-01,3.8988912105560303
2010-10-04,3.8466968536376953
2010-10-05,3.9410879611968994
2010-10-06,3.8955578804016113
2010-10-07,3.8422553539276123
2010-10-08,3.8566925525665283
2010-10-11,3.8733484745025635
2010-10-12,3.862243890762329
2010-10-13,3.9244296550750732
2010-10-14,3.8900058269500732
2010-10-15,3.8833413124084473
2010-10-18,3.8156039714813232
2010-10-19,3.763410806655884
2010-10-20,3.8988912105560303
2010-10-21,3.982175827026367
2010-10-22,3.9855074882507324
2010-10-25,3.994391441345215
2010-10-26,3.9632956981658936
2010-10-27,4.051024913787842
