Date,UAA
2010-09-29,5.6875
2010-09-30,5.630000114440918
2010-10-01,5.631249904632568
2010-10-04,5.605000019073486
2010-10-05,5.638750076293945
2010-10-06,5.556250095367432
2010-10-07,5.573750019073486
2010-10-08,5.777500152587891
2010-10-11,5.739999771118164
2010-10-12,5.800000190734863
2010-10-13,5.848750114440918
2010-10-14,5.784999847412109
2010-10-15,5.702499866485596
2010-10-18,5.778749942779541
2010-10-19,5.610000133514404
2010-10-20,5.663750171661377
2010-10-21,5.676249980926514
2010-10-22,5.883749961853027
2010-10-25,5.988749980926514
2010-10-26,5.997499942779541
2010-10-27,5.849999904632568
2010-10-28,5.869999885559082
2010-10-29,5.835000038146973
2010-11-01,5.8125
2010-11-02,5.849999904632568
2010-11-03,5.803750038146973
2010-11-04,6.06125020980835
