Date,OBT
2010-09-27,6.22359037399292
2010-09-28,6.30441427230835
2010-09-29,6.30441427230835
2010-09-30,6.30441427230835
2010-10-01,6.30441427230835
2010-10-04,6.30441427230835
2010-10-05,6.30441427230835
2010-10-06,6.30441427230835
2010-10-07,6.30441427230835
2010-10-08,6.30441427230835
2010-10-11,6.142763137817383
2010-10-12,6.16378116607666
2010-10-13,6.369075298309326
2010-10-14,5.901902198791504
2010-10-15,5.901902198791504
2010-10-18,6.1185173988342285
2010-10-19,6.1185173988342285
2010-10-20,6.1185173988342285
2010-10-21,6.1185173988342285
2010-10-22,6.1185173988342285
2010-10-25,6.1185173988342285
2010-10-26,6.1185173988342285
2010-10-27,6.433737754821777
2010-10-28,6.433737754821777
2010-10-29,6.433737754821777
2010-11-01,6.433737754821777
2010-11-02,6.433737754821777
