Date,MTZ
2010-10-01,10.300000190734863
2010-10-04,10.229999542236328
2010-10-05,10.680000305175781
2010-10-06,10.84000015258789
2010-10-07,11.140000343322754
2010-10-08,11.170000076293945
2010-10-11,11.279999732971191
2010-10-12,11.399999618530273
2010-10-13,11.510000228881836
2010-10-14,11.569999694824219
2010-10-15,11.520000457763672
2010-10-18,11.640000343322754
2010-10-19,11.770000457763672
2010-10-20,11.930000305175781
2010-10-21,12.020000457763672
2010-10-22,12.100000381469727
2010-10-25,12.220000267028809
2010-10-26,12.279999732971191
2010-10-27,12.199999809265137
2010-10-28,12.149999618530273
2010-10-29,12.199999809265137
2010-11-01,12.229999542236328
2010-11-02,12.579999923706055
2010-11-03,12.369999885559082
2010-11-04,14.329999923706055
2010-11-05,14.90999984741211
2010-11-08,14.859999656677246
