Date,ORLY
2010-04-23,3.0846669673919678
2010-04-26,3.1040000915527344
2010-04-27,3.058666944503784
2010-04-28,3.0893330574035645
2010-04-29,3.3066670894622803
2010-04-30,3.257999897003174
2010-05-03,3.314666986465454
2010-05-04,3.2300000190734863
2010-05-05,3.2206668853759766
2010-05-06,3.128000020980835
2010-05-07,3.0899999141693115
2010-05-10,3.2246670722961426
2010-05-11,3.2153329849243164
2010-05-12,3.262666940689087
2010-05-13,3.204667091369629
2010-05-14,3.194667100906372
2010-05-17,3.2266669273376465
2010-05-18,3.2060000896453857
2010-05-19,3.252000093460083
2010-05-20,3.1846671104431152
2010-05-21,3.192667007446289
2010-05-24,3.173332929611206
2010-05-25,3.299333095550537
2010-05-26,3.2773330211639404
2010-05-27,3.378000020980835
2010-05-28,3.4013330936431885
2010-06-01,3.374666929244995
2010-06-02,3.4260001182556152
2010-06-03,3.4266669750213623
2010-06-04,3.308666944503784
2010-06-07,3.2326669692993164
2010-06-08,3.293333053588867
2010-06-09,3.2633330821990967
2010-06-10,3.2986669540405273
2010-06-11,3.320667028427124
2010-06-14,3.3546669483184814
2010-06-15,3.4086670875549316
2010-06-16,3.374666929244995
2010-06-17,3.3586668968200684
2010-06-18,3.328666925430298
2010-06-21,3.310667037963867
2010-06-22,3.2713329792022705
2010-06-23,3.326667070388794
2010-06-24,3.257999897003174
2010-06-25,3.2766671180725098
2010-06-28,3.2406671047210693
2010-06-29,3.188667058944702
2010-06-30,3.1706669330596924
2010-07-01,3.200000047683716
2010-07-02,3.1786670684814453
2010-07-06,3.1166670322418213
2010-07-07,3.119999885559082
2010-07-08,3.0899999141693115
2010-07-09,3.0713329315185547
2010-07-12,3.0793330669403076
2010-07-13,3.173332929611206
2010-07-14,3.1679999828338623
2010-07-15,3.2213330268859863
2010-07-16,3.1393330097198486
2010-07-19,3.194000005722046
2010-07-20,3.249332904815674
2010-07-21,3.1353330612182617
2010-07-22,3.200000047683716
2010-07-23,3.2693328857421875
2010-07-26,3.3293330669403076
2010-07-27,3.2653329372406006
2010-07-28,3.2926669120788574
2010-07-29,3.2660000324249268
2010-07-30,3.2853329181671143
2010-08-02,3.2720000743865967
2010-08-03,3.2106668949127197
2010-08-04,3.183332920074463
2010-08-05,3.190000057220459
2010-08-06,3.142667055130005
2010-08-09,3.1513330936431885
2010-08-10,3.121999979019165
2010-08-11,3.0846669673919678
2010-08-12,3.131333112716675
2010-08-13,3.122667074203491
2010-08-16,3.1419999599456787
2010-08-17,3.186666965484619
2010-08-18,3.2053329944610596
2010-08-19,3.1646668910980225
2010-08-20,3.187999963760376
2010-08-23,3.140000104904175
2010-08-24,3.144666910171509
2010-08-25,3.1553330421447754
2010-08-26,3.1473329067230225
2010-08-27,3.1740000247955322
2010-08-30,3.128667116165161
2010-08-31,3.1513330936431885
2010-09-01,3.257999897003174
2010-09-02,3.309999942779541
2010-09-03,3.3420000076293945
2010-09-07,3.305332899093628
2010-09-08,3.3506669998168945
2010-09-09,3.3440001010894775
2010-09-10,3.3413329124450684
2010-09-13,3.4119999408721924
2010-09-14,3.4053330421447754
2010-09-15,3.4346671104431152
2010-09-16,3.444000005722046
2010-09-17,3.4633328914642334
