Date,BRZE
2022-08-19,47.41999816894531
2022-08-22,45.650001525878906
2022-08-23,45.939998626708984
2022-08-24,47.029998779296875
2022-08-25,47.220001220703125
2022-08-26,44.150001525878906
2022-08-29,42.130001068115234
2022-08-30,41.599998474121094
2022-08-31,41.18000030517578
2022-09-01,38.849998474121094
2022-09-02,38.72999954223633
2022-09-06,37.95000076293945
2022-09-07,39.08000183105469
2022-09-08,40.36000061035156
2022-09-09,43.34000015258789
2022-09-12,43.58000183105469
2022-09-13,35.18000030517578
2022-09-14,36.31999969482422
2022-09-15,35.380001068115234
2022-09-16,35.189998626708984
2022-09-19,35.900001525878906
2022-09-20,35.47999954223633
2022-09-21,35.279998779296875
2022-09-22,33.790000915527344
2022-09-23,34.310001373291016
2022-09-26,33.02000045776367
