Date,PFG
2010-09-29,15.415882110595703
2010-09-30,15.398059844970703
2010-10-01,15.398059844970703
2010-10-04,15.26142692565918
2010-10-05,15.772315979003906
2010-10-06,15.944595336914062
2010-10-07,15.861425399780273
2010-10-08,16.253503799438477
2010-10-11,16.170337677001953
2010-10-12,16.04558753967285
2010-10-13,16.051528930664062
2010-10-14,15.843602180480957
2010-10-15,15.730733871459961
2010-10-18,15.992114067077637
2010-10-19,15.600038528442383
2010-10-20,15.95053482055664
2010-10-21,16.09311294555664
2010-10-22,16.08123016357422
2010-10-25,16.176279067993164
2010-10-26,16.10499382019043
2010-10-27,16.19409942626953
2010-10-28,16.09905433654785
2010-10-29,15.944595336914062
2010-11-01,16.03369903564453
2010-11-02,16.336669921875
2010-11-03,16.734695434570312
