Date,FSBW
2013-04-05,6.379263877868652
2013-04-08,6.319826126098633
2013-04-09,6.3356757164001465
2013-04-10,6.3356757164001465
2013-04-11,6.375298976898193
2013-04-12,6.41888427734375
2013-04-15,6.387185573577881
2013-04-16,6.300015449523926
2013-04-17,6.303977966308594
2013-04-18,6.303977966308594
2013-04-19,6.280204772949219
2013-04-22,6.220770359039307
2013-04-23,6.296053886413574
2013-04-24,6.375298976898193
2013-04-25,6.331713676452637
2013-04-26,6.327753067016602
2013-04-29,6.43869686126709
2013-04-30,6.5219035148620605
2013-05-01,6.517941474914551
2013-05-02,6.533789157867432
2013-05-03,6.5456767082214355
2013-05-06,6.73190450668335
2013-05-07,6.704168796539307
2013-05-08,6.716054916381836
2013-05-09,6.696244239807129
2013-05-10,6.700207710266113
