Date,HIW
2010-09-29,14.69943618774414
2010-09-30,14.878137588500977
2010-10-01,14.708597183227539
2010-10-04,14.878137588500977
2010-10-05,15.258454322814941
2010-10-06,15.359257698059082
2010-10-07,15.409663200378418
2010-10-08,15.450897216796875
2010-10-11,15.373005867004395
2010-10-12,15.423406600952148
2010-10-13,15.615856170654297
2010-10-14,15.547131538391113
2010-10-15,15.547131538391113
2010-10-18,15.77623176574707
2010-10-19,15.592947006225586
2010-10-20,15.858708381652832
2010-10-21,16.037412643432617
2010-10-22,16.08323860168457
2010-10-25,16.110733032226562
2010-10-26,15.835797309875488
2010-10-27,15.647939682006836
2010-10-28,15.643351554870605
2010-10-29,15.175968170166016
2010-11-01,15.148484230041504
2010-11-02,15.18055534362793
2010-11-03,15.212629318237305
2010-11-04,15.533384323120117
