Date,CNA
2010-09-29,11.037121772766113
2010-09-30,11.136588096618652
2010-10-01,11.064969062805176
2010-10-04,10.989371299743652
2010-10-05,11.236055374145508
2010-10-06,11.188314437866211
2010-10-07,11.092823028564453
2010-10-08,11.192290306091309
2010-10-11,11.160459518432617
2010-10-12,11.236055374145508
2010-10-13,11.295740127563477
2010-10-14,11.259930610656738
2010-10-15,11.228100776672363
2010-10-18,11.200249671936035
2010-10-19,11.088844299316406
2010-10-20,11.180359840393066
2010-10-21,11.168420791625977
2010-10-22,11.176375389099121
2010-10-25,11.112715721130371
2010-10-26,11.184334754943848
2010-10-27,11.068946838378906
2010-10-28,11.037121772766113
2010-10-29,11.029162406921387
2010-11-01,11.232084274291992
2010-11-02,11.104761123657227
2010-11-03,11.060992240905762
