Date,MRTN
2010-09-24,4.7616729736328125
2010-09-27,4.684872150421143
2010-09-28,4.74714469909668
2010-09-29,4.992076396942139
2010-09-30,4.811487674713135
2010-10-01,4.749217987060547
2010-10-04,4.643359184265137
2010-10-05,4.7865800857543945
2010-10-06,4.697328090667725
2010-10-07,4.703553676605225
2010-10-08,4.801109790802002
2010-10-11,4.8841400146484375
2010-10-12,4.836399555206299
2010-10-13,4.992076396942139
2010-10-14,4.977546691894531
2010-10-15,4.9754719734191895
2010-10-18,4.9983038902282715
2010-10-19,4.952639579772949
2010-10-20,4.545799732208252
2010-10-21,4.500133514404297
2010-10-22,4.439939498901367
2010-10-25,4.4503173828125
2010-10-26,4.398425579071045
2010-10-27,4.346531867980957
2010-10-28,4.354832649230957
2010-10-29,4.408802509307861
2010-11-01,4.429560661315918
