Date,PFS
2010-09-27,6.431258201599121
2010-09-28,6.54926061630249
2010-09-29,6.576079845428467
2010-09-30,6.629721641540527
2010-10-01,6.624354839324951
2010-10-04,6.479532718658447
2010-10-05,6.694085597991943
2010-10-06,6.710177421569824
2010-10-07,6.75845193862915
2010-10-08,6.66190242767334
2010-10-11,6.704811096191406
2010-10-12,6.7423601150512695
2010-10-13,6.881821155548096
2010-10-14,6.908640384674072
2010-10-15,6.817455768585205
2010-10-18,7.010552406311035
2010-10-19,6.967642784118652
2010-10-20,6.844271659851074
2010-10-21,6.720906734466553
2010-10-22,6.774541854858398
2010-10-25,6.753086566925049
2010-10-26,6.790637016296387
2010-10-27,6.75845193862915
2010-10-28,6.704811096191406
2010-10-29,6.779907703399658
2010-11-01,6.7423601150512695
