Date,DRI
2010-09-29,23.890352249145508
2010-09-30,23.73500633239746
2010-10-01,23.85150909423828
2010-10-04,23.85706329345703
2010-10-05,24.417428970336914
2010-10-06,24.378299713134766
2010-10-07,24.763927459716797
2010-10-08,24.657745361328125
2010-10-11,24.685684204101562
2010-10-12,24.596269607543945
2010-10-13,24.663339614868164
2010-10-14,25.054546356201172
2010-10-15,25.00425148010254
2010-10-18,24.84777069091797
2010-10-19,24.501256942749023
2010-10-20,24.998653411865234
2010-10-21,24.8980655670166
2010-10-22,26.194656372070312
2010-10-25,26.07171058654785
2010-10-26,25.937576293945312
2010-10-27,25.222209930419922
2010-10-28,25.39546775817871
2010-10-29,25.54635238647461
2010-11-01,25.725200653076172
2010-11-02,25.80344009399414
2010-11-03,26.144359588623047
2010-11-04,26.753538131713867
