Date,ASTE
2010-09-29,23.88608169555664
2010-09-30,24.088720321655273
2010-10-01,24.046497344970703
2010-10-04,23.37103843688965
2010-10-05,24.291357040405273
2010-10-06,24.291357040405273
2010-10-07,24.544658660888672
2010-10-08,25.321439743041992
2010-10-11,25.811145782470703
2010-10-12,25.405874252319336
2010-10-13,26.199546813964844
2010-10-14,25.82803726196289
2010-10-15,26.174211502075195
2010-10-18,26.59638023376465
2010-10-19,26.098228454589844
2010-10-20,26.528827667236328
2010-10-21,25.794261932373047
2010-10-22,25.17789649963379
2010-10-25,25.37209701538086
2010-10-26,25.27922821044922
2010-10-27,24.7557373046875
2010-10-28,24.451780319213867
2010-10-29,24.882389068603516
2010-11-01,24.933055877685547
2010-11-02,25.78582763671875
2010-11-03,25.04280662536621
