Date,ACIW
2010-09-27,7.033332824707031
2010-09-28,7.103332996368408
2010-09-29,7.0966668128967285
2010-09-30,7.4633331298828125
2010-10-01,7.426667213439941
2010-10-04,7.429999828338623
2010-10-05,7.5833330154418945
2010-10-06,7.436666965484619
2010-10-07,7.563333034515381
2010-10-08,7.6533331871032715
2010-10-11,7.6533331871032715
2010-10-12,7.72333288192749
2010-10-13,7.816667079925537
2010-10-14,7.77666711807251
2010-10-15,7.783332824707031
2010-10-18,7.836667060852051
2010-10-19,7.676667213439941
2010-10-20,7.823332786560059
2010-10-21,7.9633331298828125
2010-10-22,8.130000114440918
2010-10-25,8.183333396911621
2010-10-26,8.216667175292969
2010-10-27,8.256667137145996
2010-10-28,8.0
2010-10-29,8.123332977294922
2010-11-01,8.203332901000977
2010-11-02,8.483332633972168
