Date,PRI
2012-04-19,22.063814163208008
2012-04-20,21.953662872314453
2012-04-23,22.046873092651367
2012-04-24,22.16548728942871
2012-04-25,22.30105972290039
2012-04-26,22.48746109008789
2012-04-27,22.682350158691406
2012-04-30,22.22480010986328
2012-05-01,22.182435989379883
2012-05-02,21.606271743774414
2012-05-03,21.191091537475586
2012-05-04,20.725065231323242
2012-05-07,20.65728759765625
2012-05-08,20.75896453857422
2012-05-09,20.309892654418945
2012-05-10,20.42003631591797
2012-05-11,20.369203567504883
2012-05-14,20.343788146972656
2012-05-15,20.292938232421875
2012-05-16,20.394624710083008
2012-05-17,19.96249008178711
2012-05-18,19.852346420288086
2012-05-21,19.937074661254883
2012-05-22,20.216690063476562
2012-05-23,20.301414489746094
2012-05-24,20.241981506347656
2012-05-25,20.250473022460938
2012-05-29,20.51369285583496
2012-05-30,20.225006103515625
2012-05-31,20.43727684020996
2012-06-01,19.81744384765625
2012-06-04,20.046695709228516
2012-06-05,20.35236167907715
2012-06-06,20.827848434448242
2012-06-07,20.980684280395508
2012-06-08,21.125017166137695
2012-06-11,21.04011344909668
2012-06-12,21.634471893310547
2012-06-13,21.55805778503418
2012-06-14,21.651451110839844
2012-06-15,21.651451110839844
2012-06-18,21.659940719604492
2012-06-19,21.727859497070312
2012-06-20,21.744857788085938
2012-06-21,21.55805778503418
2012-06-22,21.39673614501953
2012-06-25,21.38823127746582
2012-06-26,21.651451110839844
2012-06-27,22.084476470947266
2012-06-28,22.02503776550293
2012-06-29,22.69581413269043
2012-07-02,23.001483917236328
2012-07-03,23.731685638427734
2012-07-05,23.315635681152344
2012-07-06,23.264692306518555
2012-07-09,23.27318572998047
2012-07-10,23.1967716217041
2012-07-11,23.35809898376465
2012-07-12,23.23921775817871
2012-07-13,23.723201751708984
2012-07-16,23.638290405273438
2012-07-17,23.6552734375
2012-07-18,23.638290405273438
2012-07-19,22.933555603027344
2012-07-20,22.585432052612305
2012-07-23,22.62789535522461
2012-07-24,22.636381149291992
2012-07-25,22.84016227722168
2012-07-26,22.976015090942383
2012-07-27,23.1967716217041
2012-07-30,23.22224235534668
2012-07-31,23.23921775817871
2012-08-01,22.576953887939453
2012-08-02,22.865633010864258
2012-08-03,23.341115951538086
2012-08-06,22.959033966064453
2012-08-07,23.069416046142578
2012-08-08,24.3430233001709
2012-08-09,24.504352569580078
2012-08-10,24.181705474853516
2012-08-13,24.3260498046875
2012-08-14,24.521316528320312
2012-08-15,24.606237411499023
2012-08-16,24.7845458984375
2012-08-17,24.920391082763672
2012-08-20,25.00531005859375
2012-08-21,25.056249618530273
2012-08-22,24.979650497436523
2012-08-23,24.630699157714844
2012-08-24,24.690282821655273
2012-08-27,24.783899307250977
2012-08-28,24.783899307250977
2012-08-29,24.826454162597656
2012-08-30,24.72431755065918
2012-08-31,24.817941665649414
2012-09-04,25.10731315612793
2012-09-05,24.988162994384766
2012-09-06,25.2945556640625
2012-09-07,25.2945556640625
2012-09-10,25.234981536865234
2012-09-11,25.37115478515625
2012-09-12,25.4477481842041
2012-09-13,25.55838966369629
2012-09-14,25.7541446685791
2012-09-17,25.362640380859375
2012-09-18,25.166889190673828
2012-09-19,25.09880256652832
2012-09-20,24.843475341796875
2012-09-21,24.851985931396484
2012-09-24,24.911558151245117
2012-09-25,24.65623664855957
2012-09-26,24.42644500732422
2012-09-27,24.605167388916016
2012-09-28,24.3753662109375
2012-10-01,24.468992233276367
2012-10-02,24.503040313720703
2012-10-03,24.460477828979492
2012-10-04,24.486021041870117
2012-10-05,24.613676071166992
2012-10-08,24.41792869567871
2012-10-09,24.264728546142578
2012-10-10,24.264728546142578
2012-10-11,24.349842071533203
2012-10-12,23.96685218811035
2012-10-15,24.000898361206055
2012-10-16,24.409414291381836
2012-10-17,24.73282814025879
2012-10-18,24.503040313720703
2012-10-19,23.55831527709961
2012-10-22,23.745555877685547
2012-10-23,23.7030029296875
2012-10-24,23.685985565185547
2012-10-25,24.094507217407227
2012-10-26,24.043447494506836
2012-10-31,24.05195426940918
2012-11-01,24.256214141845703
2012-11-02,23.924287796020508
2012-11-05,24.196643829345703
2012-11-06,24.477506637573242
2012-11-07,23.43916893005371
2012-11-08,24.23067855834961
2012-11-09,24.324308395385742
2012-11-12,23.898759841918945
2012-11-13,23.651941299438477
2012-11-14,23.294479370117188
2012-11-15,23.473209381103516
2012-11-16,23.54981231689453
2012-11-19,24.094507217407227
2012-11-20,23.693220138549805
2012-11-21,23.966432571411133
2012-11-23,24.1201229095459
2012-11-26,24.29088592529297
2012-11-27,24.44456672668457
2012-11-28,24.461652755737305
2012-11-29,24.57264518737793
2012-11-30,24.44456672668457
2012-12-03,24.666561126708984
2012-12-04,24.521411895751953
2012-12-05,24.82879066467285
2012-12-06,24.9056339263916
2012-12-07,24.811710357666016
2012-12-10,24.871475219726562
2012-12-11,24.91416358947754
2012-12-12,24.64095115661621
2012-12-13,24.92270851135254
2012-12-14,24.410419464111328
2012-12-17,24.999547958374023
2012-12-18,24.939777374267578
2012-12-19,24.93124771118164
2012-12-20,25.323984146118164
2012-12-21,25.426450729370117
2012-12-24,25.63137435913086
2012-12-26,25.332536697387695
2012-12-27,25.349607467651367
2012-12-28,25.272764205932617
2012-12-31,25.622827529907227
2013-01-02,26.254648208618164
2013-01-03,26.664478302001953
2013-01-04,27.11699867248535
2013-01-07,26.929153442382812
2013-01-08,27.048690795898438
2013-01-09,27.08284568786621
2013-01-10,27.1938419342041
2013-01-11,27.15114974975586
2013-01-14,27.279224395751953
2013-01-15,27.398752212524414
2013-01-16,27.578054428100586
2013-01-17,27.800048828125
2013-01-18,27.706130981445312
2013-01-22,28.064716339111328
2013-01-23,27.979347229003906
2013-01-24,27.740276336669922
2013-01-25,27.842729568481445
2013-01-28,28.098867416381836
2013-01-29,28.004961013793945
2013-01-30,28.004961013793945
2013-01-31,28.07326889038086
2013-02-01,28.23548126220703
2013-02-04,28.03057098388672
2013-02-05,28.158653259277344
2013-02-06,28.12449073791504
2013-02-07,27.79150390625
2013-02-08,28.7136173248291
2013-02-11,28.44040870666504
2013-02-12,27.697586059570312
2013-02-13,27.603670120239258
2013-02-14,27.629287719726562
2013-02-15,27.723201751708984
2013-02-19,27.859819412231445
2013-02-20,27.577096939086914
2013-02-21,27.362932205200195
2013-02-22,27.362932205200195
2013-02-25,26.694700241088867
2013-02-26,26.797502517700195
2013-02-27,26.985977172851562
2013-02-28,26.960285186767578
2013-03-01,26.703269958496094
2013-03-04,26.489097595214844
2013-03-05,26.95170783996582
2013-03-06,27.148752212524414
2013-03-07,27.140180587768555
2013-03-08,27.320091247558594
2013-03-11,27.448596954345703
2013-03-12,27.482866287231445
2013-03-13,27.568527221679688
2013-03-14,27.97117805480957
2013-03-15,28.14251136779785
2013-03-18,27.95404624938965
2013-03-19,27.996885299682617
2013-03-20,28.08255386352539
2013-03-21,27.88551139831543
2013-03-22,27.919776916503906
2013-03-25,27.919776916503906
2013-03-26,27.988311767578125
2013-03-27,27.919776916503906
2013-03-28,28.08255386352539
2013-04-01,27.654197692871094
2013-04-02,27.568527221679688
2013-04-03,27.260120391845703
2013-04-04,27.22585105895996
2013-04-05,27.04595184326172
2013-04-08,27.337217330932617
2013-04-09,28.048288345336914
2013-04-10,28.26245880126953
2013-04-11,28.373828887939453
2013-04-12,28.3052978515625
2013-04-15,27.397197723388672
2013-04-16,27.97975730895996
2013-04-17,27.294387817382812
2013-04-18,27.123050689697266
2013-04-19,27.542829513549805
2013-04-22,27.902645111083984
2013-04-23,28.219621658325195
2013-04-24,28.62227439880371
2013-04-25,28.86214256286621
2013-04-26,28.733640670776367
2013-04-29,29.033493041992188
2013-04-30,29.093454360961914
2013-05-01,28.390966415405273
2013-05-02,29.00778579711914
2013-05-03,29.598913192749023
2013-05-06,29.753108978271484
2013-05-07,30.309967041015625
2013-05-08,29.70171356201172
2013-05-09,29.410429000854492
2013-05-10,29.624608993530273
2013-05-13,29.247652053833008
2013-05-14,29.63318634033203
2013-05-15,29.830223083496094
2013-05-16,29.538942337036133
2013-05-17,29.59034538269043
2013-05-20,29.598913192749023
2013-05-21,29.607467651367188
2013-05-22,29.315263748168945
2013-05-23,29.38401222229004
