Date,ZETA
2022-03-09,10.720000267028809
2022-03-10,11.449999809265137
2022-03-11,10.829999923706055
2022-03-14,10.5
2022-03-15,10.039999961853027
2022-03-16,10.890000343322754
2022-03-17,11.350000381469727
2022-03-18,10.350000381469727
2022-03-21,10.100000381469727
2022-03-22,10.449999809265137
2022-03-23,10.710000038146973
2022-03-24,10.979999542236328
2022-03-25,10.920000076293945
2022-03-28,11.319999694824219
2022-03-29,12.1899995803833
2022-03-30,11.949999809265137
2022-03-31,12.75
2022-04-01,12.350000381469727
2022-04-04,13.029999732971191
2022-04-05,12.399999618530273
2022-04-06,12.100000381469727
2022-04-07,13.3100004196167
2022-04-08,13.3100004196167
2022-04-11,12.600000381469727
2022-04-12,12.859999656677246
2022-04-13,13.069999694824219
2022-04-14,12.800000190734863
2022-04-18,11.529999732971191
