Date,ENR
2016-03-09,30.50679588317871
2016-03-10,30.04127311706543
2016-03-11,29.868579864501953
2016-03-14,30.40167999267578
2016-03-15,30.43170738220215
2016-03-16,30.544336318969727
2016-03-17,30.266525268554688
2016-03-18,30.889724731445312
2016-03-21,30.349117279052734
2016-03-22,30.033761978149414
2016-03-23,29.613279342651367
2016-03-24,29.553220748901367
2016-03-28,29.793500900268555
2016-03-29,30.146392822265625
2016-03-30,30.60440444946289
2016-03-31,30.416688919067383
2016-04-01,30.686996459960938
2016-04-04,31.62554931640625
2016-04-05,31.715660095214844
2016-04-06,32.263771057128906
2016-04-07,32.06105422973633
2016-04-08,32.57912063598633
2016-04-11,31.910877227783203
2016-04-12,32.669219970703125
2016-04-13,32.62417984008789
2016-04-14,33.11973190307617
