Date,PEP
2010-09-29,42.723628997802734
2010-09-30,42.52522277832031
2010-10-01,42.8836555480957
2010-10-04,42.80043411254883
2010-10-05,43.37009048461914
2010-10-06,43.59410095214844
2010-10-07,42.307586669921875
2010-10-08,42.08356475830078
2010-10-11,41.93636703491211
2010-10-12,42.2947998046875
2010-10-13,42.49961471557617
2010-10-14,42.65323257446289
2010-10-15,42.6788444519043
2010-10-18,42.5636100769043
2010-10-19,41.86598205566406
2010-10-20,41.58434295654297
2010-10-21,41.71875
2010-10-22,41.609947204589844
2010-10-25,41.63555145263672
2010-10-26,41.46912384033203
2010-10-27,41.136287689208984
2010-10-28,41.609947204589844
2010-10-29,41.79555130004883
2010-11-01,41.95557403564453
2010-11-02,42.11558532714844
2010-11-03,41.73154830932617
2010-11-04,41.82756042480469
