Date,AEIS
2010-09-29,12.903764724731445
2010-09-30,12.815450668334961
2010-10-01,12.805639266967773
2010-10-04,12.521066665649414
2010-10-05,12.903764724731445
2010-10-06,12.884139060974121
2010-10-07,12.835074424743652
2010-10-08,12.638821601867676
2010-10-11,12.854702949523926
2010-10-12,13.423839569091797
2010-10-13,13.875227928161621
2010-10-14,14.444365501403809
2010-10-15,14.414928436279297
2010-10-18,14.846689224243164
2010-10-19,13.826162338256836
2010-10-20,14.061668395996094
2010-10-21,13.669159889221191
2010-10-22,14.100919723510742
2010-10-25,14.25792407989502
2010-10-26,14.228487968444824
2010-10-27,14.620997428894043
2010-10-28,14.091108322143555
2010-10-29,14.091108322143555
2010-11-01,12.344439506530762
2010-11-02,12.736946105957031
2010-11-03,12.560319900512695
