Date,OTIS
2020-12-11,59.38777542114258
2020-12-14,58.50251007080078
2020-12-15,60.319644927978516
2020-12-16,60.794898986816406
2020-12-17,61.30741882324219
2020-12-18,61.13968276977539
2020-12-21,61.64289474487305
2020-12-22,60.95331954956055
2020-12-23,61.1583251953125
2020-12-24,61.30741882324219
2020-12-28,61.50312042236328
2020-12-29,61.2142333984375
2020-12-30,62.17405319213867
2020-12-31,62.94750213623047
2021-01-04,61.12104415893555
2021-01-05,60.6644287109375
2021-01-06,62.351112365722656
2021-01-07,63.161827087402344
2021-01-08,62.276573181152344
2021-01-11,61.838592529296875
2021-01-12,60.785587310791016
2021-01-13,59.611427307128906
2021-01-14,60.51533508300781
2021-01-15,61.06514358520508
2021-01-19,60.91604995727539
2021-01-20,60.7483024597168
2021-01-21,59.19209671020508
