Date,SNEX
2016-07-13,12.942221641540527
2016-07-14,13.115555763244629
2016-07-15,13.217778205871582
2016-07-18,13.342222213745117
2016-07-19,13.195555686950684
2016-07-20,13.231110572814941
2016-07-21,13.017778396606445
2016-07-22,13.031110763549805
2016-07-25,12.933333396911621
2016-07-26,12.942221641540527
2016-07-27,13.128889083862305
2016-07-28,12.893333435058594
2016-07-29,12.95111083984375
2016-08-01,12.968889236450195
2016-08-02,12.737777709960938
2016-08-03,13.124444007873535
2016-08-04,13.915555953979492
2016-08-05,13.995555877685547
2016-08-08,14.035555839538574
2016-08-09,14.271110534667969
2016-08-10,14.600000381469727
2016-08-11,14.466667175292969
2016-08-12,14.577777862548828
2016-08-15,15.164443969726562
2016-08-16,15.30222225189209
2016-08-17,15.448888778686523
2016-08-18,15.555556297302246
2016-08-19,15.733332633972168
2016-08-22,15.773332595825195
2016-08-23,16.06222152709961
2016-08-24,15.768889427185059
2016-08-25,15.715556144714355
2016-08-26,15.915555953979492
2016-08-29,15.977778434753418
2016-08-30,16.351110458374023
2016-08-31,16.008888244628906
2016-09-01,16.133333206176758
2016-09-02,16.373332977294922
2016-09-06,16.537778854370117
2016-09-07,16.586666107177734
2016-09-08,16.91111183166504
2016-09-09,16.755556106567383
2016-09-12,16.91111183166504
2016-09-13,16.49333381652832
2016-09-14,16.399999618530273
2016-09-15,16.471111297607422
2016-09-16,16.48444366455078
2016-09-19,17.311111450195312
2016-09-20,16.648889541625977
2016-09-21,16.786666870117188
2016-09-22,17.479999542236328
2016-09-23,17.546667098999023
2016-09-26,17.27111053466797
2016-09-27,17.49333381652832
2016-09-28,17.333332061767578
2016-09-29,16.96444320678711
2016-09-30,17.266666412353516
2016-10-03,17.142221450805664
2016-10-04,17.177778244018555
2016-10-05,17.351110458374023
2016-10-06,17.435556411743164
2016-10-07,17.31999969482422
2016-10-10,17.23555564880371
2016-10-11,17.066667556762695
2016-10-12,16.942222595214844
2016-10-13,16.546667098999023
2016-10-14,16.635555267333984
2016-10-17,16.50666618347168
2016-10-18,16.502222061157227
2016-10-19,16.755556106567383
2016-10-20,16.697778701782227
2016-10-21,16.595556259155273
2016-10-24,16.755556106567383
2016-10-25,16.675556182861328
2016-10-26,16.537778854370117
2016-10-27,16.502222061157227
2016-10-28,16.128889083862305
