Date,AGCO
2010-09-29,31.227298736572266
2010-09-30,30.661388397216797
2010-10-01,29.686765670776367
2010-10-04,29.168010711669922
2010-10-05,30.166200637817383
2010-10-06,30.24481964111328
2010-10-07,30.818584442138672
2010-10-08,31.93470001220703
2010-10-11,32.68137741088867
2010-10-12,33.34946060180664
2010-10-13,33.46737289428711
2010-10-14,32.8228645324707
2010-10-15,33.7188835144043
2010-10-18,33.58527374267578
2010-10-19,32.62636184692383
2010-10-20,33.428070068359375
2010-10-21,34.135459899902344
2010-10-22,34.599185943603516
2010-10-25,34.44984817504883
2010-10-26,33.64813232421875
2010-10-27,33.200130462646484
2010-10-28,33.08222961425781
2010-10-29,33.380897521972656
2010-11-01,33.176551818847656
2010-11-02,33.59312438964844
2010-11-03,33.60098648071289
2010-11-04,34.82712173461914
