Date,JNJ
2010-09-29,40.22089767456055
2010-09-30,39.99496841430664
2010-10-01,39.859405517578125
2010-10-04,39.807769775390625
2010-10-05,40.53717803955078
2010-10-06,40.80183792114258
2010-10-07,40.80828857421875
2010-10-08,40.81475067138672
2010-10-11,40.85993576049805
2010-10-12,40.853477478027344
2010-10-13,41.04066848754883
2010-10-14,41.14394760131836
2010-10-15,41.034217834472656
2010-10-18,41.22140884399414
2010-10-19,40.853477478027344
2010-10-20,41.05357360839844
2010-10-21,41.30532455444336
2010-10-22,41.18912887573242
2010-10-25,41.298866271972656
2010-10-26,41.20851135253906
2010-10-27,41.034217834472656
2010-10-28,41.02775955200195
2010-10-29,41.14394760131836
2010-11-01,41.11167907714844
2010-11-02,41.234317779541016
2010-11-03,41.4344367980957
