Date,LENZ
2022-03-22,20.524703979492188
2022-03-23,18.75878143310547
2022-03-24,18.225671768188477
2022-03-25,17.959115982055664
2022-03-28,17.492645263671875
2022-03-29,17.426008224487305
2022-03-30,17.09281349182129
2022-03-31,16.992856979370117
2022-04-01,17.426008224487305
2022-04-04,17.12613296508789
2022-04-05,16.026596069335938
2022-04-06,14.893739700317383
2022-04-07,14.527226448059082
2022-04-08,13.794200897216797
2022-04-11,13.594285011291504
2022-04-12,13.461008071899414
2022-04-13,13.827520370483398
2022-04-14,14.293992042541504
2022-04-18,13.127814292907715
2022-04-19,13.294410705566406
2022-04-20,13.327730178833008
2022-04-21,12.861259460449219
2022-04-22,13.327730178833008
2022-04-25,14.227352142333984
2022-04-26,13.061175346374512
2022-04-27,13.394369125366211
2022-04-28,14.227352142333984
