Date,VSEC
2011-01-11,14.108880043029785
2011-01-12,14.250370025634766
2011-01-13,14.10446548461914
2011-01-14,13.954132080078125
2011-01-18,13.73747730255127
2011-01-19,13.565038681030273
2011-01-20,13.335126876831055
2011-01-21,13.220168113708496
2011-01-24,13.224591255187988
2011-01-25,13.432395935058594
2011-01-26,13.662314414978027
2011-01-27,13.724215507507324
2011-01-28,13.23343276977539
2011-01-31,13.251152038574219
2011-02-01,13.71634292602539
2011-02-02,13.663177490234375
2011-02-03,13.578997611999512
2011-02-04,13.56128215789795
2011-02-07,13.663177490234375
2011-02-08,13.849248886108398
2011-02-09,13.844818115234375
2011-02-10,13.809377670288086
2011-02-11,13.960010528564453
2011-02-14,13.995450019836426
2011-02-15,13.937857627868652
2011-02-16,14.141651153564453
2011-02-17,14.137224197387695
2011-02-18,14.150514602661133
2011-02-22,13.71634292602539
2011-02-23,13.4859619140625
2011-02-24,13.525837898254395
2011-02-25,12.29420280456543
2011-02-28,12.010659217834473
2011-03-01,11.899900436401367
2011-03-02,11.939770698547363
2011-03-03,12.617613792419434
2011-03-04,12.675209999084473
2011-03-07,12.648628234863281
2011-03-08,12.48027229309082
2011-03-09,12.8745756149292
2011-03-10,12.453692436218262
2011-03-11,12.62204647064209
2011-03-14,12.577737808227539
2011-03-15,12.356223106384277
2011-03-16,12.320780754089355
2011-03-17,12.453692436218262
2011-03-18,12.985332489013672
2011-03-21,13.282167434692383
2011-03-22,13.344193458557129
2011-03-23,13.322041511535645
2011-03-24,12.985332489013672
2011-03-25,12.719512939453125
2011-03-28,12.914448738098145
2011-03-29,12.994194984436035
2011-03-30,13.144821166992188
2011-03-31,13.16254997253418
2011-04-01,13.711910247802734
2011-04-04,13.503683090209961
2011-04-05,13.450521469116211
2011-04-06,13.384061813354492
2011-04-07,13.242294311523438
2011-04-08,12.839132308959961
2011-04-11,13.317605972290039
2011-04-12,13.384061813354492
2011-04-13,13.01634693145752
2011-04-14,13.091658592224121
2011-04-15,13.220139503479004
2011-04-18,13.291028022766113
2011-04-19,13.397354125976562
2011-04-20,13.725198745727539
2011-04-21,13.698617935180664
2011-04-25,13.268875122070312
2011-04-26,13.516972541809082
2011-04-27,13.392927169799805
2011-04-28,13.22457504272461
2011-04-29,12.489134788513184
2011-05-02,12.24494743347168
2011-05-03,12.369257926940918
2011-05-04,12.111751556396484
2011-05-05,11.880885124206543
2011-05-06,11.996320724487305
