Date,CLH
2010-09-30,33.875
2010-10-01,34.060001373291016
2010-10-04,33.45500183105469
2010-10-05,34.349998474121094
2010-10-06,34.5099983215332
2010-10-07,34.4900016784668
2010-10-08,34.349998474121094
2010-10-11,34.619998931884766
2010-10-12,34.48500061035156
2010-10-13,34.85499954223633
2010-10-14,34.86000061035156
2010-10-15,34.814998626708984
2010-10-18,35.060001373291016
2010-10-19,34.244998931884766
2010-10-20,34.70000076293945
2010-10-21,34.75
2010-10-22,34.720001220703125
2010-10-25,35.125
2010-10-26,35.040000915527344
2010-10-27,34.790000915527344
2010-10-28,35.064998626708984
2010-10-29,35.25
2010-11-01,35.14500045776367
2010-11-02,36.0
2010-11-03,36.834999084472656
2010-11-04,36.58000183105469
2010-11-05,37.0
2010-11-08,36.75
2010-11-09,36.70000076293945
