Date,CXT
2010-09-29,9.986330032348633
2010-09-30,9.907986640930176
2010-10-01,10.072510719299316
2010-10-04,10.015056610107422
2010-10-05,10.174361228942871
2010-10-06,9.988945960998535
2010-10-07,10.020280838012695
2010-10-08,10.161299705505371
2010-10-11,10.11690616607666
2010-10-12,10.122132301330566
2010-10-13,10.391112327575684
2010-10-14,10.331048011779785
2010-10-15,10.346714973449707
2010-10-18,10.351943016052246
2010-10-19,10.101234436035156
2010-10-20,10.260540962219238
2010-10-21,10.310155868530273
2010-10-22,10.372833251953125
2010-10-25,10.56347370147705
2010-10-26,9.936713218688965
2010-10-27,10.06989860534668
2010-10-28,9.981106758117676
2010-10-29,9.991556167602539
2010-11-01,9.981106758117676
2010-11-02,10.033337593078613
2010-11-03,10.062066078186035
