Date,CWH
2017-07-06,19.421236038208008
2017-07-07,19.45471954345703
2017-07-10,19.427936553955078
2017-07-11,19.782878875732422
2017-07-12,19.83645248413086
2017-07-13,21.550880432128906
2017-07-14,21.28300666809082
2017-07-17,21.00172996520996
2017-07-18,21.403547286987305
2017-07-19,21.885726928710938
2017-07-20,21.58436393737793
2017-07-21,21.329875946044922
2017-07-24,20.8610897064209
2017-07-25,21.209335327148438
2017-07-26,21.09547996520996
2017-07-27,21.343271255493164
2017-07-28,21.309783935546875
2017-07-31,21.403547286987305
2017-08-01,21.4437313079834
2017-08-02,21.209335327148438
2017-08-03,21.430335998535156
2017-08-04,21.41694450378418
2017-08-07,22.260757446289062
2017-08-08,22.012971878051758
2017-08-09,21.711605072021484
2017-08-10,21.075395584106445
2017-08-11,23.231821060180664
