Date,CRK
2010-09-29,99.96109771728516
2010-09-30,100.81275939941406
2010-10-01,101.75410461425781
2010-10-04,98.3921890258789
2010-10-05,102.02306365966797
2010-10-06,106.72975158691406
2010-10-07,106.59527587890625
2010-10-08,107.5814208984375
2010-10-11,105.65393829345703
2010-10-12,105.6091079711914
2010-10-13,106.90906524658203
2010-10-14,107.22283935546875
2010-10-15,105.4746322631836
2010-10-18,108.56758880615234
2010-10-19,102.91957092285156
2010-10-20,105.02635192871094
2010-10-21,103.86090087890625
2010-10-22,101.88859558105469
2010-10-25,101.93341064453125
2010-10-26,96.64400482177734
2010-10-27,97.13706970214844
2010-10-28,97.85428619384766
2010-10-29,100.18519592285156
2010-11-01,104.89189147949219
2010-11-02,103.99539947509766
2010-11-03,106.55044555664062
2010-11-04,108.92620849609375
