Date,CHCT
2016-02-16,9.936549186706543
2016-02-17,10.225287437438965
2016-02-18,10.168449401855469
2016-02-19,10.134346961975098
2016-02-22,10.225287437438965
2016-02-23,10.230971336364746
2016-02-24,10.174131393432617
2016-02-25,10.208235740661621
2016-02-26,10.100241661071777
2016-02-29,10.213915824890137
2016-03-01,10.4014892578125
2016-03-02,10.59473991394043
2016-03-03,10.742518424987793
2016-03-04,10.714099884033203
2016-03-07,10.679998397827148
2016-03-08,10.799357414245605
2016-03-09,10.708416938781738
2016-03-10,10.54926586151123
2016-03-11,10.685680389404297
2016-03-14,10.714099884033203
2016-03-15,10.702733039855957
2016-03-16,10.708416938781738
2016-03-17,10.78799057006836
2016-03-18,10.287812232971191
2016-03-21,10.424220085144043
2016-03-22,10.412853240966797
2016-03-23,10.662944793701172
