Date,ESNT
2014-07-30,16.651670455932617
2014-07-31,16.29376792907715
2014-08-01,15.765853881835938
2014-08-04,15.667423248291016
2014-08-05,15.846383094787598
2014-08-06,16.240074157714844
2014-08-07,16.544300079345703
2014-08-08,17.7701358795166
2014-08-11,17.734350204467773
2014-08-12,17.87750816345215
2014-08-13,17.64487075805664
2014-08-14,17.958040237426758
2014-08-15,18.539634704589844
2014-08-18,18.56648063659668
2014-08-19,18.494897842407227
2014-08-20,18.45016098022461
2014-08-21,18.709644317626953
2014-08-22,18.808073043823242
2014-08-25,19.022815704345703
2014-08-26,18.960180282592773
2014-08-27,18.74544334411621
2014-08-28,18.682804107666016
2014-08-29,18.843862533569336
2014-09-02,18.700698852539062
2014-09-03,18.700698852539062
2014-09-04,18.718591690063477
